Model,Discipline,mean,std,count,Experiment,Metric
Claude-3,Earth Science,0.9246,0.0589,100,3,Context Consistency
Claude-3,Computer Science,0.928,0.0553,100,3,Context Consistency
Llama-3.2,Mathematics,0.9306,0.0882,100,3,Context Consistency
Llama-3.2,Physics,0.9185,0.0847,100,3,Context Consistency
Llama-3.2,Biology,0.9583,0.0465,100,3,Context Consistency
Llama-3.2,Chemistry,0.9272,0.066,100,3,Context Consistency
Llama-3.2,Earth Science,0.9629,0.0414,100,3,Context Consistency
Llama-3.2,Computer Science,0.9417,0.0589,100,3,Context Consistency
Qwen-2.5,Mathematics,0.9148,0.0905,100,3,Context Consistency
Qwen-2.5,Physics,0.9111,0.0953,100,3,Context Consistency
Qwen-2.5,Biology,0.8924,0.1593,100,3,Context Consistency
Qwen-2.5,Chemistry,0.8818,0.141,100,3,Context Consistency
Qwen-2.5,Earth Science,0.8938,0.1398,100,3,Context Consistency
Qwen-2.5,Computer Science,0.8925,0.1618,100,3,Context Consistency
Gemma-2,Mathematics,0.9324,0.1444,100,3,Context Consistency
Gemma-2,Physics,0.9579,0.0451,100,3,Context Consistency
Gemma-2,Biology,0.9541,0.0337,100,3,Context Consistency
Gemma-2,Chemistry,0.9283,0.0545,100,3,Context Consistency
Gemma-2,Earth Science,0.9508,0.0489,100,3,Context Consistency
Gemma-2,Computer Science,0.95,0.0533,100,3,Context Consistency
