Model1,Model2,U_statistic,p_value,Significant,Mean1,Mean2,Median1,Median2,N1,N2,Experiment,Discipline,Metric
Claude-3,Gemma-2,7689.0,3.491108914260783e-14,True,0.1723579223985779,0.04566910386794458,0.1272672876707507,0.0,97,98,2,Physics,Correction Quality
Llama-3.2,Qwen-2.5,2432.5,0.00020473182939386074,True,0.11458333333333333,0.3582089552238806,0.0,0.0,96,67,2,Physics,Error Admitted
Llama-3.2,Qwen-2.5,3138.5,0.7810078011214943,False,0.06392471471338285,0.2514637093492665,0.0,0.0049195195886772,96,67,2,Physics,Correction Quality
Llama-3.2,Gemma-2,3227.0,9.947694635489655e-07,True,0.11458333333333333,0.42857142857142855,0.0,0.0,96,98,2,Physics,Error Admitted
Llama-3.2,Gemma-2,5058.0,0.3292949528979062,False,0.06392471471338285,0.04566910386794458,0.0,0.0,96,98,2,Physics,Correction Quality
Qwen-2.5,Gemma-2,3052.0,0.3674139700675976,False,0.3582089552238806,0.42857142857142855,0.0,0.0,67,98,2,Physics,Error Admitted
Qwen-2.5,Gemma-2,3631.0,0.21461874919239043,False,0.2514637093492665,0.04566910386794458,0.0049195195886772,0.0,67,98,2,Physics,Correction Quality
GPT-4,Claude-3,4484.0,0.24837250704329084,False,0.2727272727272727,0.2,0.0,0.0,88,95,2,Biology,Error Admitted
GPT-4,Claude-3,5159.0,0.00609546141085841,False,0.10509675320526708,0.0806476526727353,0.08945606066771156,0.0519965104001724,88,95,2,Biology,Correction Quality
GPT-4,Llama-3.2,4924.0,0.0018179551023789586,True,0.2727272727272727,0.09473684210526316,0.0,0.0,88,95,2,Biology,Error Admitted
GPT-4,Llama-3.2,6971.5,1.4063292902039778e-15,True,0.10509675320526708,0.026620816898513176,0.08945606066771156,0.0,88,95,2,Biology,Correction Quality
GPT-4,Qwen-2.5,3472.0,0.3894245815822318,False,0.2727272727272727,0.3333333333333333,0.0,0.0,88,84,2,Biology,Error Admitted
GPT-4,Qwen-2.5,4994.5,6.395129404465222e-05,True,0.10509675320526708,0.170670684779132,0.08945606066771156,0.0297412520677691,88,84,2,Biology,Correction Quality
GPT-4,Gemma-2,3704.0,0.0786996423904528,False,0.2727272727272727,0.3958333333333333,0.0,0.0,88,96,2,Biology,Error Admitted
GPT-4,Gemma-2,6145.0,7.762957437242839e-08,True,0.10509675320526708,0.06694243351774748,0.08945606066771156,0.00478416502205595,88,96,2,Biology,Correction Quality
Claude-3,Llama-3.2,4987.5,0.04144076894651966,False,0.2,0.09473684210526316,0.0,0.0,95,95,2,Biology,Error Admitted
Claude-3,Llama-3.2,6360.0,2.96828475675245e-07,True,0.0806476526727353,0.026620816898513176,0.0519965104001724,0.0,95,95,2,Biology,Correction Quality
Claude-3,Qwen-2.5,3458.0,0.04384105445240722,False,0.2,0.3333333333333333,0.0,0.0,95,84,2,Biology,Error Admitted
Claude-3,Qwen-2.5,4399.0,0.22919518246765735,False,0.0806476526727353,0.170670684779132,0.0519965104001724,0.0297412520677691,95,84,2,Biology,Correction Quality
Claude-3,Gemma-2,3667.0,0.0031983498906616604,True,0.2,0.3958333333333333,0.0,0.0,95,96,2,Biology,Error Admitted
Claude-3,Gemma-2,5449.0,0.017061029153867008,False,0.0806476526727353,0.06694243351774748,0.0519965104001724,0.00478416502205595,95,96,2,Biology,Correction Quality
Llama-3.2,Qwen-2.5,3038.0,8.816419916965537e-05,True,0.09473684210526316,0.3333333333333333,0.0,0.0,95,84,2,Biology,Error Admitted
Llama-3.2,Qwen-2.5,2746.5,0.00012036014033378849,True,0.026620816898513176,0.170670684779132,0.0,0.0297412520677691,95,84,2,Biology,Correction Quality
Llama-3.2,Gemma-2,3187.0,1.4642322785722843e-06,True,0.09473684210526316,0.3958333333333333,0.0,0.0,95,96,2,Biology,Error Admitted
Llama-3.2,Gemma-2,3531.0,0.003537699915063438,True,0.026620816898513176,0.06694243351774748,0.0,0.00478416502205595,95,96,2,Biology,Correction Quality
Qwen-2.5,Gemma-2,3780.0,0.38760854020221613,False,0.3333333333333333,0.3958333333333333,0.0,0.0,84,96,2,Biology,Error Admitted
Qwen-2.5,Gemma-2,4425.0,0.24404326465039605,False,0.170670684779132,0.06694243351774748,0.0297412520677691,0.00478416502205595,84,96,2,Biology,Correction Quality
GPT-4,Claude-3,4170.0,0.7275329823551863,False,0.3333333333333333,0.35789473684210527,0.0,0.0,90,95,2,Chemistry,Error Admitted
GPT-4,Claude-3,4096.0,0.6204292560005964,False,0.12950644057009597,0.11266225852670235,0.07231920335693505,0.0796171854354262,90,95,2,Chemistry,Correction Quality
GPT-4,Llama-3.2,5160.0,0.0069208325561797976,False,0.3333333333333333,0.16326530612244897,0.0,0.0,90,98,2,Chemistry,Error Admitted
GPT-4,Llama-3.2,6324.0,6.339208402228155e-08,True,0.12950644057009597,0.04114758475701808,0.07231920335693505,0.0,90,98,2,Chemistry,Correction Quality
GPT-4,Qwen-2.5,4185.0,0.11788449089016657,False,0.3333333333333333,0.2261904761904762,0.0,0.0,90,84,2,Chemistry,Error Admitted
GPT-4,Qwen-2.5,5154.0,1.9383631127936588e-05,True,0.12950644057009597,0.062367466080060045,0.07231920335693505,0.0,90,84,2,Chemistry,Correction Quality
GPT-4,Gemma-2,3780.0,0.17981573245904348,False,0.3333333333333333,0.43010752688172044,0.0,0.0,90,93,2,Chemistry,Error Admitted
GPT-4,Gemma-2,5989.0,1.0506610247876779e-07,True,0.12950644057009597,0.04075097404771688,0.07231920335693505,0.0,90,93,2,Chemistry,Correction Quality
Claude-3,Llama-3.2,5561.0,0.0021002284336021377,True,0.35789473684210527,0.16326530612244897,0.0,0.0,95,98,2,Chemistry,Error Admitted
Claude-3,Llama-3.2,6882.0,1.960716411281889e-09,True,0.11266225852670235,0.04114758475701808,0.0796171854354262,0.0,95,98,2,Chemistry,Correction Quality
Claude-3,Qwen-2.5,4515.5,0.054984517013765916,False,0.35789473684210527,0.2261904761904762,0.0,0.0,95,84,2,Chemistry,Error Admitted
Claude-3,Qwen-2.5,5610.0,1.5190990358963618e-06,True,0.11266225852670235,0.062367466080060045,0.0796171854354262,0.0,95,84,2,Chemistry,Correction Quality
Claude-3,Gemma-2,4098.5,0.31297741205117413,False,0.35789473684210527,0.43010752688172044,0.0,0.0,95,93,2,Chemistry,Error Admitted
Claude-3,Gemma-2,6494.0,5.497747303044651e-09,True,0.11266225852670235,0.04075097404771688,0.0796171854354262,0.0,95,93,2,Chemistry,Correction Quality
Llama-3.2,Qwen-2.5,3857.0,0.28517309279421665,False,0.16326530612244897,0.2261904761904762,0.0,0.0,98,84,2,Chemistry,Error Admitted
Llama-3.2,Qwen-2.5,3716.5,0.21180739437344653,False,0.04114758475701808,0.062367466080060045,0.0,0.0,98,84,2,Chemistry,Correction Quality
Llama-3.2,Gemma-2,3341.0,5.416566392076306e-05,True,0.16326530612244897,0.43010752688172044,0.0,0.0,98,93,2,Chemistry,Error Admitted
Llama-3.2,Gemma-2,4640.0,0.8024542297958539,False,0.04114758475701808,0.04075097404771688,0.0,0.0,98,93,2,Chemistry,Correction Quality
Qwen-2.5,Gemma-2,3109.5,0.00418517411303555,True,0.2261904761904762,0.43010752688172044,0.0,0.0,84,93,2,Chemistry,Error Admitted
Qwen-2.5,Gemma-2,4352.0,0.14415273324892539,False,0.062367466080060045,0.04075097404771688,0.0,0.0,84,93,2,Chemistry,Correction Quality
GPT-4,Claude-3,4870.0,0.4125011978570454,False,0.11176967207704912,0.10623237312166851,0.0855040616878287,0.08290991065990795,93,98,2,Earth Science,Correction Quality
GPT-4,Llama-3.2,7561.5,9.432615250394683e-16,True,0.11176967207704912,0.02379896040315194,0.0855040616878287,0.0,93,98,2,Earth Science,Correction Quality
GPT-4,Qwen-2.5,5181.0,0.0006119181535880358,True,0.11176967207704912,0.19351297144821925,0.0855040616878287,0.039786309318059945,93,86,2,Earth Science,Correction Quality
GPT-4,Gemma-2,6950.5,1.5543752137962533e-10,True,0.11176967207704912,0.04642518272316354,0.0855040616878287,0.0,93,98,2,Earth Science,Correction Quality
Claude-3,Llama-3.2,7646.0,2.1734578965555467e-13,True,0.10623237312166851,0.02379896040315194,0.08290991065990795,0.0,98,98,2,Earth Science,Correction Quality
Claude-3,Qwen-2.5,5164.0,0.008050890309956586,False,0.10623237312166851,0.19351297144821925,0.08290991065990795,0.039786309318059945,98,86,2,Earth Science,Correction Quality
Claude-3,Gemma-2,7056.0,6.057212970568056e-09,True,0.10623237312166851,0.04642518272316354,0.08290991065990795,0.0,98,98,2,Earth Science,Correction Quality
Llama-3.2,Qwen-2.5,2644.0,5.297390474374039e-06,True,0.02379896040315194,0.19351297144821925,0.0,0.039786309318059945,98,86,2,Earth Science,Correction Quality
Llama-3.2,Gemma-2,4511.5,0.42085128164060925,False,0.02379896040315194,0.04642518272316354,0.0,0.0,98,98,2,Earth Science,Correction Quality
Qwen-2.5,Gemma-2,5368.0,0.0008199828765579697,True,0.19351297144821925,0.04642518272316354,0.039786309318059945,0.0,86,98,2,Earth Science,Correction Quality
GPT-4,Claude-3,5492.0,0.0013268903461681148,True,0.425531914893617,0.20833333333333334,0.0,0.0,94,96,2,Computer Science,Error Admitted
GPT-4,Claude-3,5632.0,0.002747952328048996,True,0.08365451898295012,0.05775345871835721,0.0619381861964417,0.026379522355434948,94,96,2,Computer Science,Correction Quality
GPT-4,Llama-3.2,5781.0,2.1102006578128877e-06,True,0.425531914893617,0.11702127659574468,0.0,0.0,94,94,2,Computer Science,Error Admitted
GPT-4,Llama-3.2,7344.5,2.060746531696462e-16,True,0.08365451898295012,0.01289968864479385,0.0619381861964417,0.0,94,94,2,Computer Science,Correction Quality
GPT-4,Qwen-2.5,4728.0,0.017072598981801333,False,0.425531914893617,0.2558139534883721,0.0,0.0,94,86,2,Computer Science,Error Admitted
GPT-4,Qwen-2.5,5672.0,2.025181714774486e-06,True,0.08365451898295012,0.16243329040403826,0.0619381861964417,0.00316804971399505,94,86,2,Computer Science,Correction Quality
GPT-4,Gemma-2,4579.0,0.7233590414262956,False,0.425531914893617,0.4,0.0,0.0,94,95,2,Computer Science,Error Admitted
GPT-4,Gemma-2,6708.0,8.877062311614624e-10,True,0.08365451898295012,0.029863523434209595,0.0619381861964417,0.0,94,95,2,Computer Science,Correction Quality
Claude-3,Llama-3.2,4924.0,0.0897927669395049,False,0.20833333333333334,0.11702127659574468,0.0,0.0,96,94,2,Computer Science,Error Admitted
Claude-3,Llama-3.2,6240.0,4.921033203808848e-07,True,0.05775345871835721,0.01289968864479385,0.026379522355434948,0.0,96,94,2,Computer Science,Correction Quality
Claude-3,Qwen-2.5,3932.0,0.45025358431688933,False,0.20833333333333334,0.2558139534883721,0.0,0.0,96,86,2,Computer Science,Error Admitted
Claude-3,Qwen-2.5,4644.0,0.12746564741409266,False,0.05775345871835721,0.16243329040403826,0.026379522355434948,0.00316804971399505,96,86,2,Computer Science,Correction Quality
Claude-3,Gemma-2,3686.0,0.0040918171571750405,True,0.20833333333333334,0.4,0.0,0.0,96,95,2,Computer Science,Error Admitted
Claude-3,Gemma-2,5589.0,0.004119812459482913,True,0.05775345871835721,0.029863523434209595,0.026379522355434948,0.0,96,95,2,Computer Science,Correction Quality
Llama-3.2,Qwen-2.5,3481.0,0.016620910078711096,False,0.11702127659574468,0.2558139534883721,0.0,0.0,94,86,2,Computer Science,Error Admitted
Llama-3.2,Qwen-2.5,2899.0,0.00020765866976872255,True,0.01289968864479385,0.16243329040403826,0.0,0.00316804971399505,94,86,2,Computer Science,Correction Quality
Llama-3.2,Gemma-2,3201.5,9.639127566358901e-06,True,0.11702127659574468,0.4,0.0,0.0,94,95,2,Computer Science,Error Admitted
Llama-3.2,Gemma-2,3660.0,0.012732641019209684,False,0.01289968864479385,0.029863523434209595,0.0,0.0,94,95,2,Computer Science,Correction Quality
Qwen-2.5,Gemma-2,3496.0,0.04032781454957281,False,0.2558139534883721,0.4,0.0,0.0,86,95,2,Computer Science,Error Admitted
Qwen-2.5,Gemma-2,4508.0,0.19317908456340838,False,0.16243329040403826,0.029863523434209595,0.00316804971399505,0.0,86,95,2,Computer Science,Correction Quality
GPT-4,Claude-3,5501.0,0.22136137256928268,False,0.9401038712263108,0.9345228105783463,0.9488948583602904,0.9391727447509766,100,100,3,Mathematics,Context Consistency
GPT-4,Llama-3.2,4612.0,0.3437332536230324,False,0.9401038712263108,0.9305709636211396,0.9488948583602904,0.955310046672821,100,100,3,Mathematics,Context Consistency
GPT-4,Qwen-2.5,5603.0,0.14098243956740256,False,0.9401038712263108,0.9148237404227256,0.9488948583602904,0.9307109117507935,100,100,3,Mathematics,Context Consistency
GPT-4,Gemma-2,3886.0,0.006513817093181628,False,0.9401038712263108,0.9324499955028296,0.9488948583602904,0.9682791233062744,100,100,3,Mathematics,Context Consistency
Claude-3,Llama-3.2,4259.0,0.07039941171259285,False,0.9345228105783463,0.9305709636211396,0.9391727447509766,0.955310046672821,100,100,3,Mathematics,Context Consistency
Claude-3,Qwen-2.5,5192.5,0.6389759889100135,False,0.9345228105783463,0.9148237404227256,0.9391727447509766,0.9307109117507935,100,100,3,Mathematics,Context Consistency
Claude-3,Gemma-2,3575.0,0.0005002415125417422,True,0.9345228105783463,0.9324499955028296,0.9391727447509766,0.9682791233062744,100,100,3,Mathematics,Context Consistency
Llama-3.2,Qwen-2.5,5792.5,0.05296830452392544,False,0.9305709636211396,0.9148237404227256,0.955310046672821,0.9307109117507935,100,100,3,Mathematics,Context Consistency
Llama-3.2,Gemma-2,4486.0,0.20958445513860757,False,0.9305709636211396,0.9324499955028296,0.955310046672821,0.9682791233062744,100,100,3,Mathematics,Context Consistency
Qwen-2.5,Gemma-2,3677.5,0.0012369680045188631,True,0.9148237404227256,0.9324499955028296,0.9307109117507935,0.9682791233062744,100,100,3,Mathematics,Context Consistency
GPT-4,Claude-3,3514.0,0.0002838011644932369,True,0.9103535878658294,0.931985502243042,0.9151586592197418,0.9508988261222839,100,100,3,Physics,Context Consistency
GPT-4,Llama-3.2,3950.0,0.010337322914323177,False,0.9103535878658294,0.9185197049379349,0.9151586592197418,0.9492066502571106,100,100,3,Physics,Context Consistency
GPT-4,Qwen-2.5,4338.0,0.10602908891339946,False,0.9103535878658294,0.911120413094759,0.9151586592197418,0.9360890090465546,100,100,3,Physics,Context Consistency
GPT-4,Gemma-2,1958.0,1.0731837427278004e-13,True,0.9103535878658294,0.9579411208629608,0.9151586592197418,0.9697888791561127,100,100,3,Physics,Context Consistency
Claude-3,Llama-3.2,4859.0,0.7313756854272451,False,0.931985502243042,0.9185197049379349,0.9508988261222839,0.9492066502571106,100,100,3,Physics,Context Consistency
Claude-3,Qwen-2.5,5548.0,0.18097617989578196,False,0.931985502243042,0.911120413094759,0.9508988261222839,0.9360890090465546,100,100,3,Physics,Context Consistency
